Area,Pop_Change,Births,Deaths,Natural_Increase,Total_InMig,Total_OutMig,Total_NetMig,CB_InMig,CB_OutMig,CB_NetMig,Int_InMig,Int_OutMig,Int_NetMig,Year,Level,Birth_Death_Ratio,Migration_Share,CB_Share,Growth_Class
283 Metsälä,30.0,4.0,6.0,-2.0,175.0,142.0,33.0,38.0,41.0,-3.0,137.0,101.0,36.0,2003,sub_area,0.6666666665555555,0.9428571428302042,-0.0909090909063361,Slight Growth
402 Länsi-Pakila,-10.0,57.0,44.0,13.0,706.0,687.0,19.0,128.0,168.0,-40.0,578.0,519.0,59.0,2003,sub_area,1.2954545454251034,0.5937499999814454,-2.1052631577839334,Slight Decline
341 Länsi-Pakila,-10.0,57.0,44.0,13.0,706.0,687.0,19.0,128.0,168.0,-40.0,578.0,519.0,59.0,2003,sub_area,1.2954545454251034,0.5937499999814454,-2.1052631577839334,Slight Decline
403 Tuomarinkylä,89.0,105.0,38.0,67.0,914.0,898.0,16.0,168.0,219.0,-51.0,746.0,679.0,67.0,2003,sub_area,2.7631578946641278,0.19277108433502685,-3.187499999800781,Slight Growth
351 Paloheinä,145.0,65.0,29.0,36.0,650.0,542.0,108.0,112.0,145.0,-33.0,538.0,397.0,141.0,2003,sub_area,2.2413793102675386,0.7499999999947917,-0.30555555555272634,Moderate Growth
352 Torpparinmäki,-54.0,40.0,9.0,31.0,263.0,352.0,-89.0,56.0,74.0,-18.0,207.0,278.0,-71.0,2003,sub_area,4.444444443950617,0.7416666666604861,-0.20224719100896352,Slight Decline
404 Oulunkylä,129.0,160.0,102.0,58.0,2756.0,2570.0,186.0,523.0,735.0,-212.0,2233.0,1835.0,398.0,2003,sub_area,1.5686274509650133,0.762295081964089,-1.1397849462304313,Moderate Growth
284 Patola,241.0,94.0,82.0,12.0,2021.0,1706.0,315.0,347.0,468.0,-121.0,1674.0,1238.0,436.0,2003,sub_area,1.1463414634006543,0.9633027522906321,-0.3841269841257647,Moderate Growth
285 Veräjämäki,-87.0,31.0,16.0,15.0,452.0,528.0,-76.0,118.0,180.0,-62.0,334.0,348.0,-14.0,2003,sub_area,1.9374999998789062,0.8351648351556575,-0.8157894736734764,Slight Decline
287 Veräjälaakso,-25.0,35.0,4.0,31.0,283.0,336.0,-53.0,58.0,87.0,-29.0,225.0,249.0,-24.0,2003,sub_area,8.7499999978125,0.6309523809448696,-0.5471698113104307,Slight Decline
405 Itä-Pakila,-41.0,33.0,27.0,6.0,503.0,531.0,-28.0,106.0,110.0,-4.0,397.0,421.0,-24.0,2003,sub_area,1.2222222221769548,0.8235294117404846,-0.14285714285204082,Slight Decline
